租户ID,用户名,用户ID
5e04d11101f34444940f5eb35e4c058f,adv_admin,77650c57a22b4bf88f3dda37d1eec460
5e04d11101f34444940f5eb35e4c058f,manage_admin,e95f34f125bb4e9bbca2c48a8ca32daa
5e04d11101f34444940f5eb35e4c058f,manage_admin_re1,9709e13fb5794fe9a1665a3e2970156f
b2773cf96cb940d993d011964ba9c11b,CFWforHCS_adv_admin,9d1eed566a3d4191a90e84afd9cea13d
b2773cf96cb940d993d011964ba9c11b,CFWforHCS_manage_admin,aec8a323854d433b903f548145474a22
75e3ff81586d4733a264515b38994dbe,CFWforHCS_re1_adv_admin,f065be02d64a430b93c9fe4c1ec248cc
75e3ff81586d4733a264515b38994dbe,CFWforHCS_re1_manage_admin,f32744e4673141409718afe186968156
b5aac798fd4c4d5c8047c17f405b2fbc,hlw_tuanshiwei_admin,b176ca7aa1ae48b19cfdf0554c0753ea
bd99d8f835604876acc482ae3c953deb,hlw_weijianwei,b03bd1948dae468c8358e0ec73da6bdf
7da06efa96804eddbacd7b3d69dff658,HLW_kxjsxh,25158d6ed5004011b91999f396a8e2ff
85322c07f69446ef9a8f7dea431c6de5,hlw_jishengxiehui,ae5b3d5ce22c46a5abeaddf6224d0d88
2e9c733654f842458623087f29d4ffa2,HLW_jiaotongjingcha,f8e50affde984b5c95cdc123e9a997a4
10033a68d93d41a3b11516a83bdc41f5,HLW_zhujianju_admin,cdc4a8f7a68945408aef8bd3ddbe65ca
0e15b02c51fe4f9a9f0a775d58d2c1c1,hlw_nongyenongcunju,e70fd7bb7fdc487daef8841f199a81ab
6c92d58d8b22435494041b637b6be079,HLW_yingjiguanli_admin,6cd81adcb1bd408784e007d0b219aa4d
b5413641ea8d4db294a3542e5d5a931f,HLW_zhihui_admin,ee68e56d2d9743598c706e51ad5585b6
8f99a61a236a4b248d479d09b55b5c0e,HLW_shizhengfu_admin,c767ab9bc0384d2c8aea79b838d343ea
802247aae7fe4072a68c2f139109e01f,HLW_suideshiwei_admin,cd8185cedc124177bef447d346162beb
312b20b2f7d442aa9ed57b8206780bf9,HLW_fagaiwei_admin,b70b24264f234274bd49ce3de5cfc24a
172c78251e6b4074ac5b2521508936f3,HLW_sifaju_admin,213fb32983e046c1a9edc2e45112aaf3
fec6fd0d83ff4fe495c2835a454a2074,HLW_dashuju_admin,e5df6143ff7d45b8aac59baac2362708
a2ff4fe923f84ff59306d470236cb69e,HLW_qianxin,cbc790de17a3415daeb0d03cd41e7fe7
53abcbef79064a8380b8b7b2b5b77aa5,HLW_gongxinju_admin,ff4127da077f4fd19422acdba76cec9f
